logged_at,contract_ticker,close_ts,spot,strike,p_market,tau_minutes,spread,p_model_yes,p_model_no,bp_5m,vol_ratio,vol_ratio_5m,body_15m,bp_15m,dir_15m,upper_wick_15m,lower_wick_15m,atr_ratio_15m,range_ratio_15m,consec_dir_15m,stoch_k_5m,stoch_k_15m,chg_1m,chg_5m,chg_15m,vwap_dist,ema_bias,ema_bias_1h,nearest_res_dist_pct,composite_p_up,realized_vol_annual,vol_ratio_1h,bp_1h,chg_1h,dir_1h,consec_dir_1h,stoch_k_1h,stoch_cross_1h,rsi_1h,macd_hist_1h,donchian_breakout_1h,engulfing_1h,liq_score,liq_bias,oi_chg_pct,ls_long_pct,fear_greed,cg_composite,offset_pct,resolved_yes,spot_at_expiry,price_move_pct,miss_pct,p_up_v2_btc,z_drift_6h,hmm_vol_state,vwap_hmm_state,edge_yes,edge_no,model_side,be,won,trade_edge,close_ts_dt,iso_week,donchian_breakout_1h_recon,donch_1h_pos_recon,kc_pct_1h_recon,kc_bo_1h_recon,arima_forecast_1h_recon,hurst_exponent_recon,ou_theta_recon,autocorr1_15_recon,autocorr1_30_recon,kalman_velocity_recon,kalman_residual_recon,macro_bull_recon,macro_sideways_recon,macro_bear_recon
2026-05-22 18:35:29+00:00,KXSOL15M-26MAY221445-45,2026-05-22T18:45:00Z,86.23,86.42,0.075,9.5,0.01,0.1508,0.1508,0.0,1.887298,1.0,0.153846,0.0,-1.0,0.846154,0.0,0.002796,0.538462,-4.0,0.0,3.409091,0.0,-0.034734,-0.300231,-0.438047,-1.0,,0.717723,0.5851,0.406785,,0.222222,-0.264581,-1.0,-1.0,25.16129,-1.0,45.217391,,,0.0,-2.0,-1.0,-0.035381,74.33,27.0,0.0,-0.215001,0.0,,,,,,,1,0.0757999999999999,-0.7742,YES,0.075,False,-0.075,2026-05-22 18:45:00+00:00,2026-W21,0,0.2492012779552723,-0.04358704855383652,-1,-0.00045255910119505294,0.5722341586187715,1.818422172272472,-0.2727011424202832,-0.24900029430916856,-0.004482231188330478,-0.0032754630028078574,2.7348940060916412e-05,4.10694019924516e-05,0.9999315816579469
2026-05-22 18:40:31+00:00,KXSOL15M-26MAY221445-45,2026-05-22T18:45:00Z,85.89,86.42,0.014,4.5,0.012,0.05,0.05,0.372093,7.735947,1.0,0.153846,0.0,-1.0,0.846154,0.0,0.002807,0.538462,-4.0,11.851852,11.851852,0.186393,-0.174115,-0.738689,-0.609758,-1.0,,1.024498,0.5851,0.716603,,0.222222,-0.264581,-1.0,-1.0,25.16129,,45.217391,,,0.0,-2.0,-1.0,-0.035381,74.33,27.0,0.0,-0.608436,0.0,,,,,,,1,0.036,-0.936,YES,0.014,False,-0.014,2026-05-22 18:45:00+00:00,2026-W21,0,0.2492012779552723,-0.04358704855383652,-1,-0.00045255910119505294,0.5722341586187715,1.818422172272472,-0.2727011424202832,-0.24900029430916856,-0.004482231188330478,-0.0032754630028078574,2.7348940060916412e-05,4.10694019924516e-05,0.9999315816579469
2026-05-22 18:50:37+00:00,KXSOL15M-26MAY221500-00,2026-05-22T19:00:00Z,85.08,85.64,0.0885,9.4,0.023,0.1538,0.1538,0.438776,5.33493,1.0,0.975,0.0,-1.0,0.025,0.0,0.003252,2.886598,-5.0,20.168067,19.512195,0.023491,0.566505,-1.09112,-1.18001,-1.0,,1.801682,0.5851,2.040856,,0.222222,-0.264581,-1.0,-1.0,25.16129,,45.217391,,,0.0,-2.0,-1.0,-0.490269,74.66,27.0,0.0,-0.653649,0.0,,,,,,,1,0.0653,-0.7577,YES,0.0885,False,-0.0885,2026-05-22 19:00:00+00:00,2026-W21,0,0.2492012779552723,-0.04358704855383652,-1,-0.00045255910119505294,0.5722341586187715,1.818422172272472,-0.2727011424202832,-0.24900029430916856,-0.004482231188330478,-0.0032754630028078574,2.7348940060916412e-05,4.10694019924516e-05,0.9999315816579469
2026-05-22 18:55:39+00:00,KXSOL15M-26MAY221500-00,2026-05-22T19:00:00Z,85.25,85.64,0.04,4.3,0.02,0.1229,0.1229,1.0,0.043526,1.0,0.975,0.0,-1.0,0.025,0.0,0.003247,2.886598,-5.0,29.951691,25.203252,0.0,0.1643,-0.755814,-0.995583,-1.0,,1.632548,0.5851,2.023591,,0.222222,-0.264581,-1.0,-1.0,25.16129,,45.217391,,,0.0,-2.0,-0.999568,-0.490269,74.66,27.0,0.0,-0.45223,0.0,,,,,,,1,0.0829,-0.8371,YES,0.04,False,-0.04,2026-05-22 19:00:00+00:00,2026-W21,0,0.2492012779552723,-0.04358704855383652,-1,-0.00045255910119505294,0.5722341586187715,1.818422172272472,-0.2727011424202832,-0.24900029430916856,-0.004482231188330478,-0.0032754630028078574,2.7348940060916412e-05,4.10694019924516e-05,0.9999315816579469
2026-05-22 19:05:42+00:00,KXSOL15M-26MAY221515-15,2026-05-22T19:15:00Z,85.06,85.32,0.165,9.3,0.03,0.227,0.227,0.0,1.06389,1.0,0.204082,0.795918,-1.0,0.0,0.795918,0.003766,3.055679,-5.0,21.827411,17.479675,0.0,-0.409309,-0.058679,-1.160794,-1.0,,1.81958,0.4658,1.176183,,0.395939,-1.372549,-1.0,-2.0,24.920128,0.0,33.477322,,,0.0,0.0,1.0,-0.876724,75.21,27.0,0.0,-0.312699,0.0,,,,,,,1,0.062,-0.608,YES,0.165,False,-0.165,2026-05-22 19:15:00+00:00,2026-W21,0,0.1338582677165367,-0.18909608278998527,-1,-0.0005003403085601469,0.5234603280336417,4.8513960154949105,-0.055350772213998284,-0.11438796103740922,-0.00315219125513499,0.0009617701336214913,3.073746802197951e-10,7.191157497219392e-06,0.9999928085351278
2026-05-22 19:10:45+00:00,KXSOL15M-26MAY221515-15,2026-05-22T19:15:00Z,84.97,85.32,0.0255,4.3,0.027,0.073,0.073,0.0,0.471761,1.0,0.204082,0.795918,-1.0,0.0,0.795918,0.003771,3.055679,-5.0,16.666667,13.00813,-0.129169,-0.129169,-0.351494,-1.205947,-1.0,,1.946733,0.5851,1.155902,,0.395939,-1.372549,-1.0,-2.0,24.920128,0.0,33.477322,,,0.0,-2.0,-0.997259,-0.876724,75.21,27.0,0.0,-0.415251,0.0,,,,,,,1,0.0475,-0.9015,YES,0.0255,False,-0.0255,2026-05-22 19:15:00+00:00,2026-W21,0,0.1338582677165367,-0.18909608278998527,-1,-0.0005003403085601469,0.5234603280336417,4.8513960154949105,-0.055350772213998284,-0.11438796103740922,-0.00315219125513499,0.0009617701336214913,3.073746802197951e-10,7.191157497219392e-06,0.9999928085351278
2026-05-22 19:35:54+00:00,KXSOL15M-26MAY221545-45,2026-05-22T19:45:00Z,84.33,84.86,0.0795,9.1,0.001,0.122,0.122,0.303797,3.64265,1.0,0.461538,0.102564,-1.0,0.435897,0.102564,0.004181,1.105263,-5.0,6.521739,5.084746,-0.153646,0.178063,-0.90418,-1.541547,-1.0,,2.596996,0.5851,1.620362,,0.395939,-1.372549,-1.0,-2.0,24.920128,0.0,33.477322,,,0.0,-2.0,-1.0,-0.215628,75.12,27.0,0.0,-0.622549,0.0,,,,,,,1,0.0424999999999999,-0.7985,YES,0.0795,False,-0.0795,2026-05-22 19:45:00+00:00,2026-W21,0,0.1338582677165367,-0.18909608278998527,-1,-0.0005003403085601469,0.5234603280336417,4.8513960154949105,-0.055350772213998284,-0.11438796103740922,-0.00315219125513499,0.0009617701336214913,3.073746802197951e-10,7.191157497219392e-06,0.9999928085351278
2026-05-22 19:40:56+00:00,KXSOL15M-26MAY221545-45,2026-05-22T19:45:00Z,84.19,84.86,0.007,4.1,0.004,0.05,0.05,0.222222,0.10398,1.0,0.461538,0.102564,-1.0,0.435897,0.102564,0.004185,1.105263,-5.0,3.448276,2.372881,0.0,-0.094798,-1.16061,-1.614534,-1.0,,2.690528,0.5851,1.648734,,0.395939,-1.372549,-1.0,-2.0,24.920128,,33.477322,,,0.0,-2.0,-1.0,-0.215628,75.12,27.0,0.0,-0.787525,0.0,,,,,,,1,0.043,-0.943,YES,0.007,False,-0.007,2026-05-22 19:45:00+00:00,2026-W21,0,0.1338582677165367,-0.18909608278998527,-1,-0.0005003403085601469,0.5234603280336417,4.8513960154949105,-0.055350772213998284,-0.11438796103740922,-0.00315219125513499,0.0009617701336214913,3.073746802197951e-10,7.191157497219392e-06,0.9999928085351278
2026-05-22 19:46:00+00:00,KXSOL15M-26MAY221600-00,2026-05-22T20:00:00Z,84.12,84.19,0.425,14.0,0.01,0.3462,0.3462,0.793103,1.545868,1.0,0.765306,0.234694,-1.0,0.0,0.234694,0.004848,2.398601,0.0,11.794872,7.324841,0.166389,-0.035583,0.047483,-1.364005,-1.0,,2.659092,0.4483,1.135122,,0.395939,-1.372549,-1.0,-2.0,24.920128,,33.477322,,,0.0,-2.0,-1.0,-0.873796,75.12,27.0,0.0,-0.076259,1.0,,,,,,,1,-0.0787999999999999,-0.2287999999999999,YES,0.425,True,0.575,2026-05-22 20:00:00+00:00,2026-W21,0,0.1338582677165367,-0.18909608278998527,-1,-0.0005003403085601469,0.5234603280336417,4.8513960154949105,-0.055350772213998284,-0.11438796103740922,-0.00315219125513499,0.0009617701336214913,3.073746802197951e-10,7.191157497219392e-06,0.9999928085351278
2026-05-23 08:31:11+00:00,KXSOL15M-26MAY230445-45,2026-05-23T08:45:00Z,81.96,82.06,0.295,13.8,0.01,0.3225,0.3225,0.5,0.001371,1.0,1.0,1.0,1.0,0.0,0.0,0.003375,0.971722,0.0,30.350195,27.083333,0.0,0.0,0.329028,-0.574164,1.0,,1.004174,0.4483,0.750917,,0.247232,-2.421078,-1.0,-2.0,13.009709,1.0,15.432099,,,0.0,-2.0,-0.997345,-0.705662,76.94,29.0,0.0,-0.1243,0.0,81.88,-0.0976,-0.2194,,,,1,0.0275,-0.3825,YES,0.295,False,-0.295,2026-05-23 08:45:00+00:00,2026-W21,0,0.09667194928684615,-0.30983243420202417,-1,-0.000574631196688375,0.6271073009490027,3.7751742382155613,0.1014922559258783,-0.0031942084804509508,-7.261563561854287e-05,0.007396172399439623,1.7657324630196076e-46,0.9999999999999858,1.1959829219629956e-14
